City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bowen,-20.0167,148.2333,71.82,74.0,0.0,7.96,AU,1627806388.0
Almuñécar,36.7339,-3.6907,83.97,39.0,70.0,1.07,ES,1627806148.0
Avarua,-21.2078,-159.775,77.05,73.0,100.0,16.11,CK,1627806388.0
Buchanan,5.8808,-10.0467,73.36,83.0,100.0,9.82,LR,1627806312.0
Sobolevo,54.4299,31.8996,66.33,87.0,100.0,9.75,RU,1627806389.0
Ugoofaaru,5.6667,73.0,81.97,76.0,100.0,10.18,MV,1627806389.0
Barrow,71.2906,-156.7887,51.82,84.0,20.0,4.61,US,1627806389.0
Mataura,-46.1927,168.8643,44.47,99.0,100.0,2.19,NZ,1627806389.0
Reconquista,-29.15,-59.65,48.25,78.0,0.0,4.29,AR,1627806389.0
Witu,-2.3889,40.4382,80.76,55.0,73.0,17.81,KE,1627806389.0
Albany,42.6001,-73.9662,59.59,87.0,39.0,3.13,US,1627806389.0
New Norfolk,-42.7826,147.0587,44.71,72.0,15.0,1.99,AU,1627806389.0
Cape Town,-33.9258,18.4232,61.11,84.0,20.0,1.01,ZA,1627806389.0
Akhmīm,26.5622,31.745,99.27,13.0,47.0,3.04,EG,1627806389.0
Port Alfred,-33.5906,26.891,71.98,30.0,100.0,13.31,ZA,1627806390.0
Fort Nelson,58.8053,-122.7002,62.19,77.0,20.0,2.3,CA,1627806390.0
East London,-33.0153,27.9116,79.74,13.0,0.0,9.22,ZA,1627806390.0
Tiznit Province,29.5833,-9.5,80.11,37.0,0.0,2.91,MA,1627806390.0
Manzhouli,49.6,117.4333,68.47,53.0,97.0,6.76,CN,1627806390.0
Provideniya,64.3833,-173.3,44.28,81.0,100.0,4.7,RU,1627806181.0
Kaitangata,-46.2817,169.8464,48.0,96.0,100.0,1.07,NZ,1627806390.0
Vila Franca do Campo,37.7167,-25.4333,72.01,86.0,84.0,5.35,PT,1627806390.0
Kamaishi,39.2667,141.8833,79.75,93.0,90.0,3.74,JP,1627806390.0
Staraya Toropa,56.2801,31.6702,68.38,84.0,100.0,10.13,RU,1627806390.0
Semey,50.4111,80.2275,89.82,18.0,0.0,8.95,KZ,1627806391.0
Cuxhaven,53.8718,8.6909,63.18,81.0,96.0,14.09,DE,1627806391.0
Adrar,20.5022,-10.0711,87.75,41.0,92.0,17.58,MR,1627806391.0
Coahuayana Viejo,18.7333,-103.6833,76.26,91.0,89.0,3.51,MX,1627806391.0
Cabo San Lucas,22.8909,-109.9124,83.52,79.0,87.0,1.01,MX,1627806391.0
Blythe,33.6103,-114.5964,94.03,29.0,84.0,3.78,US,1627806391.0
Puerto Ayora,-0.7393,-90.3518,70.56,90.0,6.0,7.0,EC,1627806391.0
Ilulissat,69.2167,-51.1,44.62,93.0,90.0,0.0,GL,1627806391.0
Dikson,73.5069,80.5464,41.34,99.0,100.0,6.11,RU,1627806391.0
Rikitea,-23.1203,-134.9692,70.95,71.0,95.0,22.84,PF,1627806392.0
Nouadhibou,20.931,-17.0347,71.58,88.0,20.0,11.5,MR,1627806392.0
Narón,43.5167,-8.1528,66.69,73.0,88.0,5.55,ES,1627806392.0
Carnarvon,-24.8667,113.6333,68.07,61.0,16.0,16.11,AU,1627806132.0
Saskylakh,71.9167,114.0833,83.77,24.0,77.0,9.82,RU,1627806392.0
Alice Town,25.7167,-79.3,85.23,71.0,19.0,12.62,BS,1627806392.0
Nikolskoye,59.7035,30.7861,66.09,86.0,92.0,5.19,RU,1627806392.0
Pembroke,45.8168,-77.1162,57.18,90.0,100.0,2.3,CA,1627806392.0
Nantucket,41.2835,-70.0995,66.96,89.0,1.0,4.61,US,1627806392.0
Rocha,-34.4833,-54.3333,42.39,91.0,0.0,2.55,UY,1627806392.0
La Palma,33.8464,-118.0467,81.36,82.0,1.0,1.01,US,1627806392.0
Alta Floresta,-9.8756,-56.0861,64.35,53.0,6.0,3.67,BR,1627806393.0
Vendychany,48.6118,27.7932,76.68,62.0,0.0,8.16,UA,1627806393.0
Busselton,-33.65,115.3333,55.04,57.0,11.0,18.34,AU,1627806393.0
Tiksi,71.6872,128.8694,48.34,73.0,2.0,6.53,RU,1627806393.0
Liverpool,53.4106,-2.9779,59.99,79.0,75.0,5.01,GB,1627806352.0
Esperance,-33.8667,121.9,49.84,73.0,96.0,22.84,AU,1627806393.0
Tuktoyaktuk,69.4541,-133.0374,59.58,68.0,32.0,14.32,CA,1627806393.0
Ntchisi,-13.5278,33.9149,60.78,52.0,6.0,9.31,MW,1627806393.0
Bredasdorp,-34.5322,20.0403,60.28,77.0,63.0,6.91,ZA,1627806219.0
Ostrovnoy,68.0531,39.5131,52.86,73.0,25.0,4.27,RU,1627806393.0
Iskateley,67.6803,53.1512,55.15,82.0,100.0,10.13,RU,1627806394.0
Morros,-9.4467,-46.3003,69.89,65.0,82.0,11.63,BR,1627806394.0
Pangnirtung,66.1451,-65.7125,46.71,78.0,29.0,3.36,CA,1627806394.0
Muros,42.7762,-9.0603,65.23,84.0,57.0,6.04,ES,1627806394.0
Fortuna,40.5982,-124.1573,63.43,92.0,90.0,1.01,US,1627806394.0
Dingle,10.9995,122.6711,85.89,72.0,91.0,13.67,PH,1627806394.0
Port Macquarie,-31.4333,152.9167,73.36,54.0,0.0,8.23,AU,1627806394.0
Makkah al Mukarramah,21.4267,39.8261,96.39,40.0,1.0,20.69,SA,1627806095.0
São João da Barra,-21.6403,-41.0511,65.59,59.0,100.0,9.66,BR,1627806394.0
Chokurdakh,70.6333,147.9167,47.41,49.0,16.0,14.29,RU,1627806395.0
Qaryat Sulūq,31.6682,20.2521,93.07,26.0,0.0,7.85,LY,1627806395.0
Udachny,66.4167,112.4,81.91,23.0,0.0,4.94,RU,1627806395.0
Pacific Grove,36.6177,-121.9166,60.76,91.0,75.0,1.01,US,1627806371.0
Nanortalik,60.1432,-45.2371,49.3,82.0,100.0,17.63,GL,1627806395.0
Saint Paul Harbor,57.79,-152.4072,54.91,88.0,1.0,4.61,US,1627806395.0
Xichang,27.8964,102.2634,85.44,43.0,0.0,2.64,CN,1627806395.0
Quatre Cocos,-20.2078,57.7625,75.31,61.0,9.0,19.1,MU,1627806395.0
Catalina,32.5056,-110.9211,79.77,66.0,79.0,2.53,US,1627806395.0
Arraial do Cabo,-22.9661,-42.0278,65.89,60.0,93.0,13.87,BR,1627806395.0
Saint George,37.1041,-113.5841,79.63,55.0,20.0,5.01,US,1627806395.0
Iralaya,15.0,-83.2333,80.38,83.0,57.0,11.59,HN,1627806396.0
Rutul,41.5357,47.4239,72.5,59.0,43.0,4.56,RU,1627806396.0
Constitución,-35.3333,-72.4167,49.21,73.0,0.0,7.11,CL,1627806396.0
Hervey Bay,-25.2986,152.8535,69.04,82.0,0.0,3.0,AU,1627806396.0
La Santisima Trinidad,-14.8333,-64.9,62.55,56.0,15.0,4.41,BO,1627806396.0
Dzaoudzi,-12.7887,45.2699,78.69,69.0,75.0,12.66,YT,1627806396.0
Aklavik,68.2191,-135.0107,70.63,50.0,100.0,8.9,CA,1627806396.0
Shymkent,42.3,69.6,97.39,11.0,0.0,15.66,KZ,1627806396.0
Lebu,-37.6167,-73.65,45.75,70.0,12.0,14.47,CL,1627806396.0
Ballitoville,-29.539,31.2144,75.24,46.0,0.0,2.3,ZA,1627806396.0
Nokaneng,-19.6667,22.2667,65.57,35.0,0.0,8.93,BW,1627806396.0
Strezhevoy,60.7333,77.5889,69.78,43.0,33.0,1.92,RU,1627806396.0
Ambilobe,-13.2,49.05,89.82,27.0,1.0,5.39,MG,1627806397.0
Vestmannaeyjar,63.4427,-20.2734,54.59,94.0,90.0,5.75,IS,1627806397.0
Atherton,53.5237,-2.4935,60.28,90.0,84.0,2.84,GB,1627806397.0
Havøysund,70.9963,24.6622,45.48,77.0,94.0,6.42,NO,1627806397.0
General Pico,-35.6566,-63.7568,38.57,81.0,0.0,3.6,AR,1627806397.0
Mogapinyana,-22.3667,27.6,64.11,50.0,0.0,5.17,BW,1627806397.0
Lagoa,39.05,-27.9833,70.93,88.0,21.0,14.25,PT,1627806397.0
Sola,-13.8833,167.55,76.62,65.0,46.0,10.54,VU,1627806397.0
Bambous Virieux,-20.3428,57.7575,75.45,60.0,75.0,18.41,MU,1627806397.0
Kumul,42.8,93.45,71.24,54.0,87.0,17.34,CN,1627806397.0
Kahului,20.8947,-156.47,76.26,75.0,1.0,18.41,US,1627806397.0
Buraidah,26.326,43.975,102.65,10.0,0.0,8.08,SA,1627806397.0
Palu,-0.8917,119.8707,83.37,84.0,87.0,3.31,ID,1627806398.0
Tasiilaq,65.6145,-37.6368,46.56,78.0,17.0,1.57,GL,1627806398.0
Buinsk,54.95,48.2833,82.29,40.0,91.0,10.49,RU,1627806398.0
Arrecife,28.963,-13.5477,71.67,73.0,20.0,31.07,ES,1627806398.0
Opuwo,-18.0607,13.84,64.4,26.0,0.0,18.05,NA,1627806398.0
Cidreira,-30.1811,-50.2056,52.21,91.0,50.0,7.16,BR,1627806398.0
Altamira,-3.2033,-52.2064,70.29,97.0,97.0,1.41,BR,1627806398.0
Hickory,35.7332,-81.3412,75.07,92.0,75.0,3.44,US,1627806398.0
Medicine Hat,50.0501,-110.6683,70.23,47.0,1.0,6.91,CA,1627806398.0
La Ronge,55.1001,-105.2842,55.65,82.0,1.0,2.3,CA,1627806398.0
Cockburn Town,21.4612,-71.1419,82.17,79.0,10.0,20.62,TC,1627806398.0
Qaanaaq,77.484,-69.3632,39.06,95.0,80.0,2.53,GL,1627806399.0
Henties Bay,-22.116,14.2845,76.33,26.0,0.0,23.94,NA,1627806399.0
Fukuechō,32.6881,128.8419,84.56,84.0,75.0,8.05,JP,1627806399.0
Vila,42.0304,-8.1588,59.74,71.0,13.0,0.81,PT,1627806399.0
Guerrero Negro,27.9769,-114.0611,71.06,83.0,7.0,9.24,MX,1627806399.0
Half Moon Bay,37.4636,-122.4286,64.74,89.0,75.0,1.01,US,1627806399.0
Akçakoca,41.0866,31.1162,85.15,39.0,0.0,6.62,TR,1627806399.0
Chara,56.9064,118.2631,52.95,83.0,100.0,4.92,RU,1627806399.0
Zhuanghe,39.7008,122.9911,80.96,82.0,7.0,10.98,CN,1627806399.0
Aketi,2.7388,23.7833,72.09,95.0,100.0,0.45,CD,1627806399.0
Pimentel,-6.8367,-79.9342,63.0,86.0,58.0,1.01,PE,1627806400.0
Rongcheng,30.634,117.8517,93.42,57.0,0.0,6.17,CN,1627806400.0
Belaya Gora,68.5333,146.4167,50.41,56.0,96.0,12.01,RU,1627806400.0
Umeå,63.8284,20.2597,66.13,72.0,20.0,3.44,SE,1627806367.0
Tura,25.5198,90.2201,79.65,87.0,99.0,7.11,IN,1627806400.0
Thanh Hoa,19.8,105.7667,78.82,96.0,100.0,0.56,VN,1627806400.0
Labuhan,-6.8844,112.2051,86.63,58.0,25.0,7.94,ID,1627806400.0
Port Lincoln,-34.7333,135.8667,55.09,70.0,6.0,14.34,AU,1627806400.0
Namatanai,-3.6667,152.4333,79.5,79.0,16.0,5.7,PG,1627806400.0
The Valley,18.217,-63.0578,81.1,77.0,40.0,16.24,AI,1627806400.0
Kutum,14.2,24.6667,78.8,57.0,55.0,10.54,SD,1627806400.0
Imeni Poliny Osipenko,52.4201,136.4853,52.7,90.0,100.0,5.46,RU,1627806401.0
Hualmay,-11.0964,-77.6139,61.97,88.0,83.0,7.74,PE,1627806401.0
Atlantic City,39.3643,-74.4229,72.01,85.0,1.0,0.0,US,1627806356.0
Leh,34.1667,77.5833,71.87,34.0,63.0,5.01,IN,1627806401.0
Camacha,33.0833,-16.3333,69.53,68.0,40.0,11.5,PT,1627806401.0
Adzopé,6.1069,-3.8619,74.23,92.0,99.0,3.13,CI,1627806401.0
Casa Nova,-9.4167,-41.1333,69.78,76.0,100.0,20.69,BR,1627806401.0
Plouzané,48.3833,-4.6167,61.12,91.0,90.0,8.05,FR,1627806401.0
Promyshlennaya,54.9159,85.6385,77.95,47.0,48.0,7.11,RU,1627806401.0
Ouadda,8.0777,22.4007,69.96,97.0,95.0,8.95,CF,1627806401.0
Noyabrsk,63.1994,75.4507,67.96,48.0,100.0,13.51,RU,1627806402.0
Chapais,49.7834,-74.8492,47.98,88.0,100.0,5.37,CA,1627806402.0
Yulara,-25.2406,130.9889,71.44,33.0,0.0,12.66,AU,1627806402.0
Thompson,55.7435,-97.8558,53.76,76.0,1.0,0.0,CA,1627806402.0
Clearwater,27.9659,-82.8001,84.9,80.0,1.0,4.0,US,1627806402.0
Dunedin,-45.8742,170.5036,51.8,88.0,97.0,3.0,NZ,1627806402.0
Himaya,10.4516,122.8325,83.79,79.0,83.0,15.68,PH,1627806402.0
Gemeente Wageningen,51.9667,5.6667,65.86,91.0,90.0,9.22,NL,1627806402.0
Linqiong,30.4159,103.4609,100.22,50.0,0.0,3.65,CN,1627806402.0
Klaksvík,62.2266,-6.589,47.32,77.0,100.0,10.31,FO,1627806181.0
Mehamn,71.0357,27.8492,46.4,96.0,100.0,10.27,NO,1627806402.0
Tawang Town,27.5833,91.8667,63.12,91.0,98.0,2.93,IN,1627806403.0
Fomboni,-12.28,43.7425,76.1,71.0,5.0,19.53,KM,1627806403.0
Kabanjahe,3.1001,98.4908,75.96,75.0,98.0,4.61,ID,1627806403.0
Saint Simons,31.1352,-81.3901,80.64,92.0,1.0,9.22,US,1627806403.0
Hyderabad,17.3753,78.4744,83.71,70.0,75.0,6.91,IN,1627806403.0
Ponta do Sol,32.6667,-17.1,73.0,74.0,10.0,6.89,PT,1627806403.0
Puerto Escondido,15.85,-97.0667,78.96,83.0,3.0,6.82,MX,1627806404.0
Manavālakurichi,8.1333,77.3,84.29,62.0,41.0,20.96,IN,1627806404.0
Sidrolândia,-20.9319,-54.9614,56.19,47.0,48.0,11.05,BR,1627806404.0
Clyde River,70.4692,-68.5914,37.63,100.0,90.0,6.91,CA,1627806404.0
Dongsheng,39.8161,109.9776,77.07,22.0,52.0,13.06,CN,1627806404.0
Hong Kong,22.2855,114.1577,87.76,83.0,100.0,5.01,HK,1627806404.0
Alamosa,37.4695,-105.87,57.18,94.0,20.0,8.05,US,1627806404.0
Gabi,7.6215,126.092,88.45,66.0,87.0,2.37,PH,1627806404.0
Leningradskiy,69.3833,178.4167,35.01,94.0,98.0,16.73,RU,1627806404.0
Tuatapere,-46.1333,167.6833,44.82,93.0,73.0,3.04,NZ,1627806404.0
Kapoeta,4.7717,33.5903,84.18,37.0,100.0,19.55,SS,1627806404.0
Honiara,-9.4333,159.95,77.47,86.0,100.0,1.68,SB,1627806405.0
Saint-Philippe,-21.3585,55.7679,76.59,80.0,37.0,16.46,RE,1627806405.0
Pouembout,-21.1333,164.9,63.1,66.0,14.0,6.98,NC,1627806405.0
Coyhaique,-45.5752,-72.0662,40.95,52.0,0.0,6.91,CL,1627806405.0
Gorgan,36.8387,54.4348,91.36,49.0,40.0,0.0,IR,1627806405.0
Oodweyne,9.4092,45.064,81.9,37.0,51.0,27.13,SO,1627806405.0
Port Elizabeth,-33.918,25.5701,64.09,77.0,0.0,18.41,ZA,1627806405.0
Sechura,-5.5569,-80.8222,64.45,83.0,6.0,9.91,PE,1627806405.0
Weihe,32.9952,105.3247,89.13,41.0,0.0,8.03,CN,1627806406.0
Kiunga,-6.1219,141.2906,79.47,84.0,80.0,3.22,PG,1627806406.0
Manta,-0.95,-80.7333,71.44,88.0,99.0,11.16,EC,1627806406.0
Bandarbeyla,9.4942,50.8122,88.9,43.0,94.0,26.75,SO,1627806406.0
Inhambane,-23.865,35.3833,72.19,55.0,0.0,2.1,MZ,1627806406.0
Lethem,3.3803,-59.7968,73.26,93.0,99.0,2.55,GY,1627806406.0
Soyo,-6.1349,12.3689,73.45,75.0,100.0,3.94,AO,1627806406.0
Ternate,0.8,127.4,83.91,73.0,32.0,10.38,ID,1627806400.0
Atambua,-9.1061,124.8925,81.59,58.0,61.0,2.08,ID,1627806321.0
Savannah Bight,16.45,-85.85,79.0,77.0,68.0,18.05,HN,1627806406.0
Buritizeiro,-17.3511,-44.9622,58.32,73.0,8.0,3.11,BR,1627806406.0
Elizabeth City,36.2946,-76.2511,77.02,97.0,1.0,5.75,US,1627806407.0
Riyadh,24.6877,46.7219,107.65,10.0,0.0,5.75,SA,1627806340.0
Atuona,-9.8,-139.0333,77.32,64.0,100.0,14.05,PF,1627806407.0
Chala,-7.5833,31.2667,66.25,39.0,0.0,13.15,TZ,1627806407.0
Alice Springs,-23.7,133.8833,74.21,21.0,29.0,11.99,AU,1627806407.0
Khatanga,71.9667,102.5,72.23,47.0,98.0,7.47,RU,1627806407.0
Aripuanã,-9.1667,-60.6333,63.97,57.0,1.0,2.8,BR,1627806407.0
Ojos de Agua,14.7,-88.8167,67.6,100.0,100.0,1.83,HN,1627806407.0
Pechora,65.1472,57.2244,59.45,90.0,99.0,10.2,RU,1627806392.0
Gori,41.9842,44.1158,87.28,36.0,2.0,9.8,GE,1627806364.0
Buala,-8.145,159.5921,79.03,83.0,100.0,7.49,SB,1627806408.0
Hofn,64.2539,-15.2082,48.22,93.0,90.0,2.3,IS,1627806408.0
Poum,-20.2333,164.0167,70.2,60.0,8.0,21.39,NC,1627806408.0
Bloemfontein,-29.1211,26.214,56.68,26.0,0.0,3.44,ZA,1627806137.0
Iqaluit,63.7506,-68.5145,51.53,66.0,75.0,2.3,CA,1627806408.0
Xinzhou,38.4092,112.7333,83.3,28.0,0.0,15.14,CN,1627806408.0
Heraclea,37.5133,34.0467,84.24,20.0,0.0,8.77,TR,1627806408.0
Savonlinna,61.8699,28.88,70.05,73.0,75.0,11.5,FI,1627806408.0
Gamboma,-1.8764,15.8644,88.38,38.0,70.0,3.36,CG,1627806243.0
Kiryat Gat,31.61,34.7642,97.39,29.0,0.0,7.09,IL,1627806408.0
Bengkulu,-3.8004,102.2655,82.53,75.0,85.0,7.27,ID,1627806408.0
George Town,5.4112,100.3354,80.53,87.0,40.0,1.01,MY,1627806341.0
Muisne,0.6,-80.0333,74.77,89.0,100.0,12.33,EC,1627806409.0
Havre-St-Pierre,50.2334,-63.5986,50.36,100.0,20.0,4.61,CA,1627806263.0
Balad,34.0164,44.1453,113.97,8.0,2.0,8.99,IQ,1627806409.0
Labytnangi,66.6572,66.4183,53.82,85.0,100.0,6.71,RU,1627806409.0
Walvis Bay,-22.9575,14.5053,79.75,17.0,0.0,25.32,NA,1627806409.0
Alyangula,-13.8483,136.4192,84.07,58.0,8.0,9.22,AU,1627806409.0
Yertarskiy,56.7902,64.2995,76.28,77.0,34.0,10.96,RU,1627806409.0
Mbuyapey,-26.2,-56.75,53.6,84.0,99.0,2.42,PY,1627806409.0
Kampong Cham,11.9934,105.4635,93.33,50.0,100.0,8.77,KH,1627806409.0
Nānākuli,21.3906,-158.1547,78.75,69.0,1.0,12.66,US,1627806410.0
Shache,38.4167,77.2406,85.35,29.0,100.0,11.25,CN,1627806410.0
Portland,45.5234,-122.6762,72.28,75.0,75.0,1.01,US,1627806193.0
Mossamedes,-15.1961,12.1522,77.85,41.0,0.0,3.87,AO,1627806410.0
Two Hills,53.7169,-111.7518,71.96,56.0,46.0,8.05,CA,1627806410.0
Oyama,36.3,139.8,91.81,44.0,7.0,9.8,JP,1627806410.0
Morgan City,29.6994,-91.2068,75.99,87.0,25.0,4.03,US,1627806410.0
Sibu,2.3,111.8167,84.51,74.0,40.0,13.8,MY,1627806410.0
Novonukutskiy,53.7002,102.7117,71.04,55.0,100.0,10.54,RU,1627806410.0
Philadelphia,39.9523,-75.1638,65.75,86.0,1.0,3.44,US,1627806207.0
College,64.8569,-147.8028,68.32,61.0,75.0,0.0,US,1627806410.0
Diego de Almagro,-26.3667,-70.05,59.14,16.0,0.0,5.19,CL,1627806411.0
Viçosa,-20.7539,-42.8819,53.19,95.0,55.0,3.15,BR,1627806411.0
Hobyo,5.3505,48.5268,82.85,60.0,57.0,18.52,SO,1627806411.0
Safaga,26.7292,33.9365,89.51,51.0,91.0,7.99,EG,1627806411.0
Llanes,43.4198,-4.7549,62.28,65.0,86.0,4.43,ES,1627806411.0
Malbork,54.0359,19.0266,70.84,52.0,56.0,11.59,PL,1627806411.0
Cambridge,43.3601,-80.3127,63.75,92.0,75.0,5.75,CA,1627806411.0
High Rock,26.6208,-78.2833,82.42,73.0,7.0,12.53,BS,1627806411.0
Westport,41.1415,-73.3579,67.86,88.0,1.0,1.99,US,1627806411.0
Katsuura,35.1333,140.3,86.14,75.0,17.0,8.43,JP,1627806411.0
Hay River,60.8156,-115.7999,66.18,77.0,20.0,2.3,CA,1627806411.0
Airai,-8.9266,125.4092,71.58,50.0,41.0,2.89,TL,1627806412.0
Kālānwāli,29.85,74.95,98.69,42.0,31.0,4.5,IN,1627806412.0
Torbay,47.6666,-52.7314,60.67,88.0,75.0,13.8,CA,1627806412.0
Cosalá,24.4125,-106.6908,74.12,95.0,81.0,3.51,MX,1627806412.0
San Jerónimo,-11.9472,-75.2829,48.29,70.0,96.0,1.21,PE,1627806412.0
Salinópolis,-0.6136,-47.3561,76.03,88.0,90.0,4.99,BR,1627806412.0
Peniche,39.3558,-9.3811,69.62,82.0,68.0,7.05,PT,1627806412.0
Auchi,7.0667,6.2667,74.62,87.0,100.0,5.57,NG,1627806412.0
Inuvik,68.3499,-133.7218,70.66,49.0,75.0,6.91,CA,1627806412.0
Ziarat,30.3823,67.7282,79.79,19.0,0.0,6.06,PK,1627806412.0
Killybegs,54.6333,-8.45,56.44,72.0,100.0,11.45,IE,1627806413.0
Abilene,32.4487,-99.7331,82.89,68.0,1.0,10.36,US,1627806413.0
Yerbogachën,61.2767,108.0108,79.83,27.0,0.0,10.87,RU,1627806413.0
Cherskiy,68.75,161.3,42.3,60.0,98.0,20.07,RU,1627806413.0
Tres Arroyos,-38.3739,-60.2798,36.59,78.0,0.0,1.86,AR,1627806413.0
Ellensburg,46.9965,-120.5479,85.86,55.0,40.0,4.0,US,1627806413.0
Mar del Plata,-38.0023,-57.5575,44.1,30.0,90.0,5.99,AR,1627806413.0
Port Hardy,50.6996,-127.4199,55.58,94.0,90.0,2.3,CA,1627806413.0
Touros,-5.1989,-35.4608,72.5,89.0,38.0,13.42,BR,1627806413.0
Zhangaözen,43.3,52.8,95.94,12.0,21.0,5.82,KZ,1627806413.0
Lima,-12.0432,-77.0282,59.9,87.0,90.0,9.22,PE,1627806302.0
Viljoenskroon,-27.2084,26.9485,60.33,22.0,0.0,3.78,ZA,1627806414.0
Kotel'nich,58.3089,48.348,75.24,40.0,0.0,13.82,RU,1627806414.0
Amazar,53.858,120.875,51.8,98.0,100.0,3.04,RU,1627806414.0
Tamiahua,21.2667,-97.45,76.87,85.0,2.0,4.09,MX,1627806414.0
Alenquer,-1.9417,-54.7383,75.54,95.0,67.0,2.39,BR,1627806414.0
Zhigansk,66.7697,123.3711,81.07,38.0,42.0,11.63,RU,1627806414.0
Maningrida,-12.0667,134.2667,81.66,68.0,17.0,14.14,AU,1627806414.0
Mbuguni,-3.5667,36.95,72.88,49.0,90.0,10.07,TZ,1627806414.0
Maţāy,28.419,30.7792,96.98,23.0,0.0,8.55,EG,1627806414.0
Almaguer,1.917,-76.8523,52.99,81.0,81.0,5.77,CO,1627806415.0
Kargasok,59.0556,80.8572,67.26,53.0,78.0,5.95,RU,1627806415.0
Villazón,-22.0866,-65.5942,27.48,78.0,21.0,0.54,BO,1627806415.0
Gofitskoye,45.0792,43.0464,89.37,30.0,0.0,7.14,RU,1627806415.0
Qasigiannguit,68.8193,-51.1922,44.85,80.0,51.0,3.09,GL,1627806415.0
Mīrābād,30.4362,61.8383,99.86,7.0,0.0,27.96,AF,1627806415.0
